CellID,UMAP1,UMAP2
52_mouse_sympatho_GSE99933:SRR5674818_Aligned.sortedByCoord.out.bam,7.8929286,2.0809865
52_mouse_sympatho_GSE99933:SRR5674819_Aligned.sortedByCoord.out.bam,13.311508,9.050188
52_mouse_sympatho_GSE99933:SRR5674820_Aligned.sortedByCoord.out.bam,9.29453,6.354227
52_mouse_sympatho_GSE99933:SRR5674821_Aligned.sortedByCoord.out.bam,10.771079,0.97667664
52_mouse_sympatho_GSE99933:SRR5674822_Aligned.sortedByCoord.out.bam,9.230491,7.355932
52_mouse_sympatho_GSE99933:SRR5674823_Aligned.sortedByCoord.out.bam,12.961003,8.943347
52_mouse_sympatho_GSE99933:SRR5674824_Aligned.sortedByCoord.out.bam,12.931099,0.92217565
52_mouse_sympatho_GSE99933:SRR5674825_Aligned.sortedByCoord.out.bam,9.632731,8.659177
52_mouse_sympatho_GSE99933:SRR5674826_Aligned.sortedByCoord.out.bam,11.17851,1.414692
52_mouse_sympatho_GSE99933:SRR5674827_Aligned.sortedByCoord.out.bam,8.583555,5.21944
52_mouse_sympatho_GSE99933:SRR5674828_Aligned.sortedByCoord.out.bam,-5.4239,0.1135622
52_mouse_sympatho_GSE99933:SRR5674829_Aligned.sortedByCoord.out.bam,-5.330581,0.12572713
52_mouse_sympatho_GSE99933:SRR5674830_Aligned.sortedByCoord.out.bam,9.630426,3.7887616
52_mouse_sympatho_GSE99933:SRR5674831_Aligned.sortedByCoord.out.bam,11.991701,0.5789291
52_mouse_sympatho_GSE99933:SRR5674832_Aligned.sortedByCoord.out.bam,7.8423195,6.4314346
52_mouse_sympatho_GSE99933:SRR5674833_Aligned.sortedByCoord.out.bam,9.737056,4.095107
52_mouse_sympatho_GSE99933:SRR5674834_Aligned.sortedByCoord.out.bam,8.372596,4.379334
52_mouse_sympatho_GSE99933:SRR5674835_Aligned.sortedByCoord.out.bam,8.266934,1.348191
52_mouse_sympatho_GSE99933:SRR5674836_Aligned.sortedByCoord.out.bam,9.156753,1.0355713
52_mouse_sympatho_GSE99933:SRR5674837_Aligned.sortedByCoord.out.bam,9.467082,1.3786536
52_mouse_sympatho_GSE99933:SRR5674838_Aligned.sortedByCoord.out.bam,9.535486,3.3553002
52_mouse_sympatho_GSE99933:SRR5674839_Aligned.sortedByCoord.out.bam,8.683183,6.2429314
52_mouse_sympatho_GSE99933:SRR5674840_Aligned.sortedByCoord.out.bam,12.080719,1.4811579
52_mouse_sympatho_GSE99933:SRR5674841_Aligned.sortedByCoord.out.bam,9.255519,3.7606711
52_mouse_sympatho_GSE99933:SRR5674842_Aligned.sortedByCoord.out.bam,9.687748,7.856819
52_mouse_sympatho_GSE99933:SRR5674843_Aligned.sortedByCoord.out.bam,11.80948,0.43112123
52_mouse_sympatho_GSE99933:SRR5674844_Aligned.sortedByCoord.out.bam,6.805061,3.9652145
52_mouse_sympatho_GSE99933:SRR5674845_Aligned.sortedByCoord.out.bam,9.732059,5.490606
52_mouse_sympatho_GSE99933:SRR5674847_Aligned.sortedByCoord.out.bam,8.605156,6.942014
52_mouse_sympatho_GSE99933:SRR5674848_Aligned.sortedByCoord.out.bam,9.608344,4.748588
52_mouse_sympatho_GSE99933:SRR5674850_Aligned.sortedByCoord.out.bam,12.081497,7.991108
52_mouse_sympatho_GSE99933:SRR5674851_Aligned.sortedByCoord.out.bam,7.0359073,3.028813
52_mouse_sympatho_GSE99933:SRR5674852_Aligned.sortedByCoord.out.bam,13.424025,0.5790899
52_mouse_sympatho_GSE99933:SRR5674853_Aligned.sortedByCoord.out.bam,7.802091,1.3105618
52_mouse_sympatho_GSE99933:SRR5674854_Aligned.sortedByCoord.out.bam,8.269339,5.9132304
52_mouse_sympatho_GSE99933:SRR5674855_Aligned.sortedByCoord.out.bam,7.720897,1.4529756
52_mouse_sympatho_GSE99933:SRR5674858_Aligned.sortedByCoord.out.bam,10.492317,1.6987162
52_mouse_sympatho_GSE99933:SRR5674859_Aligned.sortedByCoord.out.bam,11.530428,7.8208885
52_mouse_sympatho_GSE99933:SRR5674860_Aligned.sortedByCoord.out.bam,7.087753,2.8316574
52_mouse_sympatho_GSE99933:SRR5674861_Aligned.sortedByCoord.out.bam,10.713945,7.5586557
52_mouse_sympatho_GSE99933:SRR5674862_Aligned.sortedByCoord.out.bam,-4.9352393,0.7477524
52_mouse_sympatho_GSE99933:SRR5674863_Aligned.sortedByCoord.out.bam,13.250539,10.423325
52_mouse_sympatho_GSE99933:SRR5674864_Aligned.sortedByCoord.out.bam,7.769165,5.9977307
52_mouse_sympatho_GSE99933:SRR5674865_Aligned.sortedByCoord.out.bam,-5.520051,0.2103942
52_mouse_sympatho_GSE99933:SRR5674866_Aligned.sortedByCoord.out.bam,12.14681,8.194923
52_mouse_sympatho_GSE99933:SRR5674867_Aligned.sortedByCoord.out.bam,9.447442,7.5577645
52_mouse_sympatho_GSE99933:SRR5674868_Aligned.sortedByCoord.out.bam,10.162103,1.4240443
52_mouse_sympatho_GSE99933:SRR5674872_Aligned.sortedByCoord.out.bam,12.427689,8.549358
52_mouse_sympatho_GSE99933:SRR5674873_Aligned.sortedByCoord.out.bam,11.593043,9.796423
52_mouse_sympatho_GSE99933:SRR5674874_Aligned.sortedByCoord.out.bam,-5.0351315,0.48655173
52_mouse_sympatho_GSE99933:SRR5674876_Aligned.sortedByCoord.out.bam,13.086339,9.385033
52_mouse_sympatho_GSE99933:SRR5674877_Aligned.sortedByCoord.out.bam,11.141736,7.292014
52_mouse_sympatho_GSE99933:SRR5674878_Aligned.sortedByCoord.out.bam,12.341806,0.42231765
52_mouse_sympatho_GSE99933:SRR5674879_Aligned.sortedByCoord.out.bam,11.857056,0.45563585
52_mouse_sympatho_GSE99933:SRR5674880_Aligned.sortedByCoord.out.bam,12.8449745,8.817956
52_mouse_sympatho_GSE99933:SRR5674881_Aligned.sortedByCoord.out.bam,8.338601,5.424718
52_mouse_sympatho_GSE99933:SRR5674882_Aligned.sortedByCoord.out.bam,7.266543,2.342994
52_mouse_sympatho_GSE99933:SRR5674883_Aligned.sortedByCoord.out.bam,11.322248,7.4500318
52_mouse_sympatho_GSE99933:SRR5674884_Aligned.sortedByCoord.out.bam,7.863699,4.8871865
52_mouse_sympatho_GSE99933:SRR5674885_Aligned.sortedByCoord.out.bam,13.159814,10.057972
52_mouse_sympatho_GSE99933:SRR5674887_Aligned.sortedByCoord.out.bam,8.495654,5.0649877
52_mouse_sympatho_GSE99933:SRR5674888_Aligned.sortedByCoord.out.bam,9.372713,4.31911
52_mouse_sympatho_GSE99933:SRR5674889_Aligned.sortedByCoord.out.bam,12.000294,9.260913
52_mouse_sympatho_GSE99933:SRR5674890_Aligned.sortedByCoord.out.bam,-5.101399,1.1906855
52_mouse_sympatho_GSE99933:SRR5674891_Aligned.sortedByCoord.out.bam,11.900541,8.458723
52_mouse_sympatho_GSE99933:SRR5674892_Aligned.sortedByCoord.out.bam,10.826173,9.082383
52_mouse_sympatho_GSE99933:SRR5674895_Aligned.sortedByCoord.out.bam,9.751785,3.4049675
52_mouse_sympatho_GSE99933:SRR5674896_Aligned.sortedByCoord.out.bam,9.734201,7.386702
52_mouse_sympatho_GSE99933:SRR5674897_Aligned.sortedByCoord.out.bam,10.312747,2.1505618
52_mouse_sympatho_GSE99933:SRR5674898_Aligned.sortedByCoord.out.bam,10.771075,7.7226524
52_mouse_sympatho_GSE99933:SRR5674899_Aligned.sortedByCoord.out.bam,9.627156,7.564516
52_mouse_sympatho_GSE99933:SRR5674900_Aligned.sortedByCoord.out.bam,12.290937,-0.16511676
52_mouse_sympatho_GSE99933:SRR5674902_Aligned.sortedByCoord.out.bam,10.539152,2.6106114
52_mouse_sympatho_GSE99933:SRR5674903_Aligned.sortedByCoord.out.bam,9.991308,2.4146104
52_mouse_sympatho_GSE99933:SRR5674906_Aligned.sortedByCoord.out.bam,7.587413,5.206869
